order_id,customer_id,subproduct_id,quantity,unit_price,discount_amount,shipping_cost,total_amount,payment_id,order_date,status_id,employee_id,city_id
30,252,299,1,155454,23318,20000,152136,8,2023-03-28,3,13,12
31,563,52,1,1019429,0,30000,1049429,10,2025-01-25,4,68,14
32,89,349,1,1177247,0,10000,1187247,9,2024-12-12,2,41,22
33,2226,90,2,235165,0,10000,480330,12,2023-04-12,5,73,23
34,1949,434,1,983839,0,10000,993839,11,2025-10-22,5,76,3
35,1144,132,1,1417646,212646,0,1205000,1,2023-04-08,1,65,2
36,318,503,1,1204592,60229,10000,1154363,2,2026-06-14,2,68,2
37,1432,471,4,382900,0,25000,1556600,7,2024-07-01,5,47,18
38,2452,22,1,781327,0,20000,801327,3,2026-06-19,1,45,20
39,1759,98,5,195165,9758,10000,937035,9,2026-06-16,3,25,7
40,1279,7,2,303478,15173,30000,606610,12,2023-04-02,5,47,14
41,905,42,1,999429,0,25000,1024429,3,2023-09-10,5,14,24
42,2252,467,1,382900,0,20000,402900,8,2025-04-02,2,31,12
43,180,291,1,202494,0,20000,222494,2,2023-11-14,3,23,17
44,1741,422,1,550089,0,10000,560089,7,2025-04-27,2,12,1
45,1458,348,2,1157247,115724,10000,2093046,6,2025-04-27,3,43,27
46,614,432,1,768998,0,0,768998,7,2024-11-23,4,61,28
47,590,466,2,362900,0,0,725800,6,2023-04-28,1,56,20
48,1997,43,1,1019429,0,15000,1034429,2,2026-01-31,4,10,28
49,341,536,1,595602,59560,20000,556042,10,2023-12-31,5,26,9
50,987,374,3,1059326,0,25000,3202978,12,2024-01-05,5,30,23
51,1518,280,2,232494,0,0,464988,7,2023-02-04,5,43,6
52,230,453,2,382900,0,10000,775800,12,2025-08-26,5,68,27
53,132,152,1,1287879,128787,30000,1189092,12,2024-04-10,3,68,7
54,1356,114,2,1138263,0,30000,2306526,2,2024-11-15,1,9,6
55,1249,517,1,79707,3985,0,75722,4,2024-10-23,1,25,15
56,1603,374,2,1059326,0,20000,2138652,4,2024-08-05,2,1,25
57,1975,378,2,1059326,0,20000,2138652,1,2024-10-08,5,1,11
58,2213,289,1,202494,0,10000,212494,8,2026-03-29,4,5,21
59,601,99,3,195165,0,30000,615495,1,2026-08-03,3,15,25
60,1397,174,2,562301,0,10000,1134602,11,2024-01-12,6,73,17
61,380,460,2,362900,54435,15000,631930,2,2025-08-21,3,59,17
62,2479,456,1,362900,0,25000,387900,12,2025-02-14,1,31,2
63,979,32,3,781327,0,0,2343981,12,2026-02-26,4,47,21
64,344,388,2,1043936,0,10000,2097872,2,2026-04-22,5,63,8
65,868,385,1,1073936,53696,0,1020240,12,2026-04-20,4,33,28
66,177,395,1,1043936,208787,30000,865149,6,2024-09-06,3,20,25
67,2339,208,4,995325,0,20000,4001300,8,2024-11-15,1,49,29
68,28,268,1,227829,0,20000,247829,11,2025-01-25,4,42,6
69,603,187,1,60278,9041,30000,81237,7,2025-05-21,5,4,5
70,1569,67,1,836915,83691,25000,778224,1,2023-09-21,5,16,14
71,2484,226,1,1189215,0,25000,1214215,10,2023-02-24,4,36,21
72,15,69,2,876915,0,0,1753830,3,2026-03-16,5,64,17
73,689,541,1,595602,29780,20000,585822,8,2025-04-11,5,7,10
74,1137,476,1,455632,45563,25000,435069,2,2023-06-23,2,14,25
75,1376,438,2,1023839,51191,15000,1960296,8,2026-02-27,3,58,24
76,1303,371,1,1079326,0,25000,1104326,3,2024-02-19,5,5,4
77,493,210,1,995325,0,30000,1025325,12,2024-12-26,5,59,23
78,2174,179,1,582301,0,20000,602301,7,2024-08-01,3,60,7
79,2151,427,2,1148346,0,15000,2311692,9,2024-06-28,4,17,10
80,2008,509,1,1194592,59729,15000,1149863,10,2023-08-20,4,31,2
81,1365,315,1,135454,0,15000,150454,10,2025-02-04,3,76,26
82,509,182,1,90278,0,0,90278,1,2025-08-19,4,49,4
83,1745,127,1,1417646,141764,0,1275882,10,2024-06-04,4,54,27
84,2357,194,1,80278,0,30000,110278,11,2026-04-13,1,10,25
85,2274,490,2,455632,0,15000,926264,9,2024-05-17,4,17,21
86,1956,383,1,1063936,53196,15000,1025740,12,2025-11-21,2,22,21
87,557,284,3,222494,22249,15000,615735,2,2023-04-20,4,15,10
88,2288,162,1,582301,0,15000,597301,2,2024-01-17,5,58,21
89,2338,170,3,562301,0,25000,1711903,8,2024-04-17,2,59,21
90,1768,344,4,1167247,0,10000,4678988,5,2025-11-11,4,57,8
91,228,324,1,135454,6772,30000,158682,12,2025-02-03,4,62,16
92,324,470,1,382900,0,10000,392900,4,2026-02-26,4,39,4
93,1308,212,1,1035325,0,0,1035325,8,2026-08-05,4,46,4
94,2407,145,4,1317879,65893,10000,5017944,5,2023-03-06,1,66,5
95,771,390,2,1063936,0,20000,2147872,7,2023-03-12,4,24,29
96,1051,202,1,1015325,0,20000,1035325,8,2026-06-06,4,1,19
97,2200,323,1,175454,8772,25000,191682,4,2025-12-02,5,75,19
98,1117,273,3,202494,0,30000,637482,5,2026-08-10,1,19,28
99,2429,486,1,455632,0,15000,470632,10,2025-09-23,3,20,20
100,6,110,3,1108263,0,25000,3349789,11,2023-08-23,4,54,4
101,466,220,5,1035325,0,15000,5191625,6,2026-06-05,3,27,5
102,1257,515,4,79707,0,0,318828,12,2025-12-18,1,64,25
103,773,307,1,175454,8772,0,166682,7,2023-03-18,4,37,16
104,1575,192,1,60278,0,15000,75278,3,2023-11-27,3,1,10
105,506,237,1,1169215,58460,20000,1130755,12,2023-12-31,4,22,10
106,1024,292,1,232494,0,20000,252494,5,2023-10-23,2,30,17
107,1577,393,4,1073936,0,15000,4310744,1,2024-07-19,4,7,23
108,208,256,4,207829,0,0,831316,6,2025-05-04,3,14,1
109,778,346,1,1147247,0,30000,1177247,2,2025-03-12,5,23,12
110,699,170,1,562301,0,20000,582301,2,2023-01-01,3,50,9
111,171,346,1,1147247,0,25000,1172247,6,2025-11-19,5,35,22
112,786,224,2,1159215,115921,20000,2106588,1,2023-09-07,3,18,11
113,1395,69,1,876915,87691,30000,819224,6,2025-11-26,5,71,12
114,1800,102,2,1148263,57413,25000,2206700,1,2023-08-27,2,43,9
115,1246,183,1,60278,0,30000,90278,11,2023-12-30,4,37,6
116,2337,277,2,202494,0,0,404988,2,2023-11-24,3,28,13
117,1483,407,4,1043936,0,25000,4200744,3,2025-11-17,2,53,24
118,631,6,4,273478,0,30000,1123912,8,2024-10-20,1,39,5
119,624,53,2,1009429,0,30000,2048858,10,2023-03-29,3,65,25
120,2133,401,1,1053936,0,25000,1078936,9,2025-11-17,1,19,11
121,765,128,1,1427646,71382,20000,1376264,6,2025-08-06,5,14,10
122,1279,280,2,232494,0,15000,479988,3,2025-05-02,2,15,14
123,105,98,1,195165,0,25000,220165,3,2026-02-20,3,28,12
124,1472,413,3,1243713,0,10000,3741139,9,2023-07-29,3,33,6
125,514,152,4,1287879,64393,20000,4913944,7,2023-01-26,2,62,14
126,995,162,1,582301,0,15000,597301,5,2023-06-17,2,21,18
127,2200,435,1,1023839,0,20000,1043839,1,2024-05-10,4,40,19
128,811,549,1,595602,29780,30000,595822,8,2023-10-03,3,39,14
129,2209,512,1,1184592,0,0,1184592,11,2023-04-17,1,44,7
130,1197,54,1,1009429,0,30000,1039429,6,2024-01-01,1,10,17
131,2451,505,5,1204592,0,15000,6037960,3,2023-02-08,5,45,20
132,749,443,1,1013839,0,20000,1033839,11,2024-07-20,5,69,8
133,850,183,1,60278,6027,30000,84251,12,2026-04-28,7,30,8
134,2257,327,2,1177247,0,25000,2379494,9,2026-04-04,4,22,9
135,2362,196,4,70278,0,30000,311112,8,2025-11-13,4,71,29
136,1747,529,1,89707,0,15000,104707,4,2026-08-26,2,46,10
137,947,81,2,205165,30774,15000,363782,2,2025-07-24,4,11,4
138,2370,192,2,60278,0,15000,135556,12,2025-05-23,2,60,13
139,1418,8,3,303478,0,20000,930434,1,2023-04-27,4,72,14
140,1219,290,2,222494,22249,10000,410490,8,2026-02-03,5,49,7
141,1705,425,1,1148346,0,10000,1158346,1,2025-10-30,4,42,18
142,1469,75,2,876915,0,25000,1778830,6,2026-03-31,3,36,19
143,668,380,2,1079326,53966,0,2050720,4,2023-12-17,2,5,12
144,276,360,1,1079326,107932,10000,981394,6,2024-11-01,4,15,21
145,107,421,1,530089,0,0,530089,7,2023-07-23,4,30,2
146,1457,11,4,293478,0,30000,1203912,2,2025-04-03,1,63,6
147,2035,146,1,1317879,0,10000,1327879,12,2024-05-01,3,63,16
148,1910,41,5,1009429,0,30000,5077145,11,2025-10-25,2,70,3
149,574,529,1,89707,0,25000,114707,11,2023-08-18,5,73,4
150,1448,315,2,135454,6772,10000,267364,2,2024-04-16,7,10,23
151,1808,325,4,1147247,57362,10000,4369540,8,2023-11-27,5,28,15
152,360,314,2,155454,0,10000,320908,2,2023-05-25,8,3,3
153,2064,413,1,1243713,0,0,1243713,12,2025-12-31,5,43,22
154,1063,27,1,761327,114199,0,647128,1,2026-04-05,4,32,19
155,1220,382,2,1033936,206787,0,1654298,3,2025-05-05,6,9,17
156,627,312,1,155454,7772,0,147682,8,2025-10-22,4,6,3
157,2121,269,5,232494,0,20000,1182470,8,2023-10-03,4,69,24
158,785,189,3,90278,0,25000,295834,8,2025-07-01,4,2,11
159,526,22,1,781327,0,30000,811327,4,2024-03-05,4,27,15
160,1252,133,1,1397646,139764,15000,1272882,1,2024-09-20,1,3,24
161,1619,2,1,303478,15173,0,288305,4,2024-08-25,2,44,26
162,1368,467,2,382900,0,0,765800,3,2025-01-20,5,17,3
163,2445,366,1,1079326,53966,10000,1035360,8,2024-04-20,4,49,16
164,2142,509,2,1194592,119459,20000,2170266,12,2023-06-07,3,57,12
165,261,223,2,1179215,58960,30000,2270510,4,2025-01-29,1,69,2
166,2184,229,2,1169215,0,0,2338430,8,2023-06-22,3,29,1
167,1127,370,1,1069326,0,15000,1084326,9,2023-03-21,3,53,5
168,347,468,3,392900,0,15000,1193700,9,2025-11-10,2,4,9
169,2371,413,3,1243713,0,10000,3741139,2,2025-10-18,4,45,1
170,1307,523,1,89707,0,25000,114707,9,2025-09-19,2,42,16
171,1603,144,1,1277879,0,15000,1292879,4,2024-05-03,4,75,25
172,1836,84,2,235165,0,15000,485330,7,2024-01-10,1,30,15
173,1287,431,4,758998,0,10000,3045992,12,2025-11-23,7,60,16
174,306,364,1,1079326,0,10000,1089326,6,2026-07-24,1,46,9
175,1427,345,3,1187247,59362,15000,3398655,1,2026-08-21,3,58,6
176,2431,424,1,520089,0,30000,550089,12,2025-11-23,5,18,10
177,129,40,1,761327,0,30000,791327,5,2023-08-05,4,3,29
178,1272,507,3,1204592,0,0,3613776,5,2026-06-20,5,52,5
179,1817,376,2,1099326,0,15000,2213652,1,2023-08-05,1,40,6
180,1752,419,1,1085563,54278,15000,1046285,3,2026-02-04,7,56,9
181,1198,308,3,145454,14545,0,392727,10,2023-09-16,4,71,7
182,1926,85,1,225165,0,0,225165,8,2025-04-28,4,2,9
183,993,161,1,582301,0,30000,612301,5,2024-04-17,3,29,11
184,1899,251,1,217829,21782,30000,226047,9,2023-03-01,3,73,23
185,1978,263,2,217829,0,10000,445658,1,2026-06-10,4,34,29
186,2103,104,3,1118263,55913,25000,3212050,12,2024-04-11,4,65,4
187,2349,147,1,1297879,0,15000,1312879,5,2026-04-23,4,68,14
188,432,197,1,80278,4013,15000,91265,4,2023-09-06,2,11,23
189,1464,389,3,1073936,0,25000,3246808,3,2024-06-25,5,60,5
190,2436,83,4,225165,22516,0,810596,5,2025-01-22,1,31,15
191,1110,203,2,1015325,0,15000,2045650,11,2025-07-31,5,61,27
192,117,339,1,1187247,0,15000,1202247,11,2024-08-29,1,20,21
193,506,75,3,876915,43845,0,2499210,2,2024-02-25,4,76,10
194,564,29,1,751327,37566,0,713761,7,2023-02-25,2,75,5
195,217,34,1,771327,0,10000,781327,11,2024-02-22,1,40,18
196,672,435,3,1023839,102383,30000,2794368,4,2024-06-26,8,47,23
197,2296,272,2,202494,10124,20000,404740,7,2024-02-14,2,14,29
198,2339,319,1,135454,0,20000,155454,2,2024-10-02,5,69,29
199,1350,323,1,175454,8772,25000,191682,7,2024-07-17,7,68,27
200,1511,62,2,836915,41845,25000,1615140,11,2023-09-18,4,40,11
201,750,197,1,80278,0,25000,105278,4,2023-03-06,3,45,11
202,230,212,4,1035325,51766,30000,3964236,9,2025-11-12,2,4,27
203,115,508,1,1174592,117459,30000,1087133,2,2024-11-19,4,75,22
204,1848,217,1,995325,49766,10000,955559,5,2026-07-15,3,61,24
205,2002,495,1,1194592,59729,25000,1159863,10,2025-10-05,3,32,10
206,1254,438,1,1023839,0,0,1023839,7,2023-03-11,3,73,9
207,2094,139,1,1397646,69882,10000,1337764,11,2025-12-25,7,59,19
208,1496,213,1,1025325,0,25000,1050325,11,2025-01-15,3,38,2
209,1556,22,2,781327,0,0,1562654,5,2026-08-30,1,4,21
210,644,370,1,1069326,53466,30000,1045860,7,2025-08-16,2,6,17
211,1779,62,2,836915,0,10000,1683830,12,2023-07-09,5,33,3
212,128,451,2,1013839,50691,10000,1936296,2,2025-08-17,3,62,28
213,825,128,2,1427646,0,10000,2865292,1,2024-08-30,2,30,6
214,1218,253,2,217829,10891,15000,428876,8,2026-04-12,6,72,22
215,1465,160,2,1297879,0,20000,2615758,8,2026-03-19,1,76,11
216,2335,425,2,1148346,57417,15000,2196858,12,2024-06-25,4,46,3
217,1451,468,2,392900,0,10000,795800,4,2026-06-30,3,14,24
218,1180,148,1,1297879,0,25000,1322879,3,2025-10-06,2,36,7
219,662,219,2,995325,0,20000,2010650,3,2023-02-18,5,61,1
220,420,473,1,455632,0,30000,485632,11,2025-03-04,1,36,23
221,1140,399,1,1033936,0,0,1033936,9,2023-03-24,1,49,5
222,2068,82,5,205165,0,15000,1040825,3,2024-04-18,1,17,24
223,2471,166,1,542301,27115,30000,545186,10,2025-12-25,4,46,8
224,2155,139,1,1397646,69882,20000,1347764,5,2023-12-14,4,24,17
225,861,326,2,1177247,0,10000,2364494,8,2024-02-27,5,25,26
226,1805,533,5,575602,28780,30000,2764110,2,2023-09-30,4,45,22
227,169,13,1,293478,0,20000,313478,3,2023-09-03,3,9,14
228,794,258,5,237829,11891,25000,1154690,7,2024-06-11,4,44,12
229,2035,70,1,876915,0,20000,896915,1,2024-03-19,2,46,16
230,18,200,1,60278,6027,10000,64251,10,2024-01-07,1,47,24
231,1951,215,3,1035325,103532,20000,2815379,4,2023-04-16,5,14,22
232,1952,198,4,50278,2513,0,191060,9,2023-09-24,5,44,14
233,655,465,2,382900,19145,25000,752510,12,2023-04-16,4,4,24
234,612,422,2,550089,0,0,1100178,8,2025-12-12,4,20,16
235,113,490,1,455632,0,0,455632,5,2023-12-20,4,45,21
236,1005,332,2,1187247,0,10000,2384494,2,2024-01-04,2,42,4
237,2114,476,4,455632,0,20000,1842528,10,2026-06-25,3,4,1
238,686,202,1,1015325,0,20000,1035325,10,2024-02-09,5,37,22
239,1905,345,1,1187247,59362,0,1127885,1,2023-05-18,6,7,28
240,2103,434,1,983839,0,25000,1008839,8,2025-06-27,5,42,4
241,2217,347,4,1187247,0,25000,4773988,2,2024-11-28,3,39,7
242,177,304,2,145454,14545,10000,271818,7,2024-11-17,6,53,25
243,1194,403,1,1043936,0,25000,1068936,6,2026-06-27,3,14,4
244,512,295,3,202494,0,0,607482,4,2026-01-11,3,71,5
245,1327,48,2,1029429,51471,20000,1975916,8,2024-07-07,2,50,11
246,793,303,2,155454,0,25000,335908,2,2024-06-18,6,55,22
247,1840,263,5,217829,10891,25000,1059690,9,2025-02-12,5,54,20
248,2093,369,2,1079326,107932,15000,1957788,2,2026-02-28,4,7,5
249,1789,469,2,392900,39290,15000,722220,9,2025-03-20,6,58,2
250,968,461,2,392900,19645,10000,756510,1,2026-07-03,4,10,7
251,1142,218,4,1025325,0,20000,4121300,6,2023-11-24,5,77,5
252,604,265,5,247829,24782,25000,1140235,8,2025-12-04,1,1,28
253,161,495,2,1194592,0,20000,2409184,9,2024-08-22,3,58,14
254,1614,183,5,60278,0,0,301390,4,2025-02-03,5,21,28
255,854,351,3,1157247,0,10000,3481741,8,2025-08-19,3,24,5
256,633,256,1,207829,10391,20000,217438,10,2023-05-29,4,45,28
257,472,377,1,1059326,0,10000,1069326,7,2026-04-17,3,49,2
258,29,1,4,263478,0,20000,1073912,4,2023-02-10,5,53,25
259,2482,48,2,1029429,0,0,2058858,5,2026-08-31,2,10,20
260,1662,347,2,1187247,0,25000,2399494,7,2024-05-18,4,69,14
261,2467,455,3,382900,38290,0,1033830,1,2024-06-30,5,55,7
262,102,511,1,1194592,59729,0,1134863,4,2023-04-01,5,32,2
263,129,53,3,1009429,151414,0,2574045,11,2025-06-30,5,63,29
264,1163,202,1,1015325,101532,0,913793,11,2024-09-24,4,49,15
265,2064,470,1,382900,0,15000,397900,12,2024-05-03,5,63,22
266,26,333,1,1187247,59362,25000,1152885,2,2024-09-08,3,68,22
267,1190,512,1,1184592,0,10000,1194592,6,2023-11-02,4,30,27
268,261,257,1,217829,10891,10000,216938,12,2026-07-09,3,34,2
269,705,85,2,225165,0,10000,460330,10,2026-03-17,5,75,20
270,653,126,1,1427646,0,0,1427646,2,2025-12-09,4,28,27
271,28,297,2,155454,7772,15000,310364,8,2023-10-11,3,10,6
272,1090,114,2,1138263,113826,30000,2078874,7,2025-01-14,4,1,13
273,1293,428,2,1138346,0,25000,2301692,2,2024-08-30,1,52,10
274,1518,451,2,1013839,50691,30000,1956296,7,2024-09-27,6,48,6
275,1774,395,1,1043936,52196,20000,1011740,1,2025-08-28,7,72,11
276,515,9,2,293478,0,30000,616956,7,2024-12-23,2,40,8
277,1314,190,1,60278,3013,0,57265,10,2024-11-05,3,69,9
278,2028,542,1,595602,59560,10000,546042,5,2025-11-29,4,36,18
279,683,6,1,273478,13673,30000,289805,10,2023-10-18,1,22,3
280,2197,479,3,435632,0,30000,1336896,11,2026-05-03,4,36,8
281,253,390,3,1063936,0,15000,3206808,7,2023-03-13,3,26,10
282,154,252,1,217829,0,15000,232829,4,2026-04-11,2,12,1
283,778,245,1,247829,0,0,247829,2,2026-01-19,2,66,12
284,88,411,1,1192030,178804,25000,1038226,9,2024-06-22,3,64,25
285,1522,137,2,1397646,69882,10000,2665528,2,2024-10-16,4,44,28
286,1133,198,1,50278,5027,15000,60251,12,2023-06-03,3,67,28
287,1300,75,4,876915,0,30000,3537660,12,2024-03-08,4,12,15
288,1345,358,5,1099326,54966,25000,5246800,4,2024-05-09,3,27,26
289,2356,364,2,1079326,161898,20000,1854856,2,2026-01-16,4,60,7
290,2187,145,1,1317879,65893,0,1251986,10,2026-08-31,4,75,15
291,1771,133,1,1397646,139764,25000,1282882,8,2023-08-16,3,54,9
292,2425,201,1,1025325,51266,10000,984059,6,2023-12-11,3,15,16
293,2417,469,1,392900,39290,25000,378610,10,2025-09-20,5,7,3
294,17,135,2,1397646,69882,0,2655528,1,2023-07-05,4,41,2
295,37,193,2,70278,7027,10000,136502,3,2023-09-18,2,16,4
296,309,43,2,1019429,0,30000,2068858,3,2025-01-18,5,40,9
297,1709,188,1,60278,0,20000,80278,7,2024-07-08,3,28,28
298,966,218,5,1025325,0,0,5126625,5,2026-07-18,4,25,20
299,1570,132,1,1417646,0,15000,1432646,1,2023-09-27,1,64,13
300,1284,540,3,565602,0,30000,1726806,3,2024-10-04,3,8,21
301,1160,542,1,595602,29780,0,565822,6,2023-10-17,4,2,8
302,870,253,4,217829,32674,0,740620,11,2026-05-14,5,73,4
303,1908,26,1,791327,39566,0,751761,4,2026-05-30,3,12,18
304,50,480,1,465632,0,10000,475632,12,2023-02-19,4,31,14
305,2003,487,2,445632,0,20000,911264,6,2023-09-22,3,33,4
306,1630,67,1,836915,83691,15000,768224,4,2025-06-21,4,44,5
307,1270,110,1,1108263,0,10000,1118263,7,2024-10-18,6,55,14
308,1391,253,2,217829,32674,30000,400310,10,2023-08-05,5,35,5
309,1896,53,3,1009429,0,15000,3043287,11,2024-01-03,1,13,16
310,1044,228,2,1199215,0,20000,2418430,10,2024-03-01,2,70,25
311,1354,517,1,79707,3985,20000,95722,4,2026-06-09,4,73,8
312,540,45,1,1019429,0,30000,1049429,3,2023-05-24,4,57,9
313,2456,249,2,237829,11891,15000,466876,2,2024-12-10,4,37,21
314,346,92,1,195165,0,10000,205165,12,2024-01-06,1,51,23
315,1333,91,1,225165,0,15000,240165,5,2026-08-31,2,28,28
316,1094,298,1,165454,0,30000,195454,7,2025-03-14,5,76,17
317,1036,151,1,1307879,0,30000,1337879,11,2023-07-10,1,20,9
318,1809,408,2,1063936,0,15000,2142872,9,2023-12-05,2,7,6
319,2078,457,4,362900,18145,30000,1409020,1,2026-07-08,4,28,12
320,2214,382,1,1033936,0,0,1033936,1,2024-01-21,4,55,5
321,576,351,2,1157247,57862,30000,2228770,8,2024-03-09,7,43,12
322,1649,379,2,1099326,0,20000,2218652,11,2024-08-03,2,40,11
323,114,248,1,237829,11891,30000,255938,3,2025-08-05,2,37,24
324,1449,424,3,520089,0,0,1560267,12,2025-02-14,3,53,2
325,1364,124,1,1407646,140764,10000,1276882,2,2024-02-16,3,66,3
326,444,512,1,1184592,59229,15000,1140363,10,2025-01-20,5,47,10
327,1673,336,3,1157247,0,0,3471741,11,2026-04-02,5,30,25
328,1834,323,1,175454,17545,30000,187909,5,2024-03-24,3,18,18
329,36,164,1,582301,0,15000,597301,5,2023-06-30,1,44,16
330,1966,378,3,1059326,0,20000,3197978,4,2024-12-24,4,63,29
331,1693,47,1,1029429,51471,10000,987958,5,2025-03-23,6,28,19
332,758,484,1,425632,0,10000,435632,3,2023-04-28,5,23,3
333,2292,147,1,1297879,194681,10000,1113198,3,2026-04-24,3,40,7
334,2483,157,1,1317879,263575,15000,1069304,12,2024-01-25,1,40,8
335,1615,137,2,1397646,0,20000,2815292,11,2026-03-08,5,76,4
336,812,56,4,1029429,51471,25000,3936832,11,2024-11-03,6,38,5
337,1651,469,2,392900,0,0,785800,8,2025-10-18,7,65,15
338,1273,311,1,165454,8272,20000,177182,12,2023-11-16,4,72,18
339,1768,5,2,273478,0,10000,556956,9,2024-03-30,4,21,8
340,68,543,1,575602,0,15000,590602,7,2024-12-30,5,22,15
341,1953,189,1,90278,0,10000,100278,3,2026-03-15,5,42,4
342,651,500,1,1164592,58229,30000,1136363,7,2025-07-06,5,70,13
343,679,485,5,425632,0,20000,2148160,11,2026-05-25,2,31,23
344,1030,441,1,993839,0,0,993839,5,2024-06-02,3,77,25
345,357,50,5,1039429,51971,10000,4947290,9,2025-03-02,4,50,12
346,2138,483,4,455632,0,15000,1837528,10,2025-11-30,7,33,2
347,1007,369,1,1079326,53966,25000,1050360,7,2023-02-08,5,12,16
348,1228,280,1,232494,0,30000,262494,2,2024-04-15,4,70,20
349,2231,29,1,751327,0,15000,766327,10,2024-05-22,4,9,7
350,834,506,5,1194592,0,30000,6002960,9,2023-10-04,7,1,21
351,647,164,4,582301,0,0,2329204,2,2023-07-06,3,65,11
352,739,32,1,781327,0,10000,791327,6,2025-01-21,4,20,22
353,300,200,1,60278,6027,30000,84251,4,2024-03-18,5,9,23
354,20,182,1,90278,9027,0,81251,2,2024-08-19,2,71,26
355,1747,496,1,1164592,0,10000,1174592,10,2026-05-03,4,3,10
356,401,468,1,392900,19645,20000,393255,12,2024-05-16,6,2,1
357,24,108,2,1128263,0,20000,2276526,6,2023-01-16,3,28,21
358,1205,317,2,165454,8272,10000,324364,9,2023-12-23,5,62,5
359,1527,75,1,876915,87691,15000,804224,2,2023-08-21,3,15,24
360,240,464,1,372900,18645,10000,364255,3,2025-08-10,4,5,11
361,219,48,2,1029429,0,25000,2083858,4,2024-06-05,6,37,23
362,2327,117,1,1108263,0,10000,1118263,11,2026-07-08,2,2,27
363,1535,220,1,1035325,0,25000,1060325,11,2023-02-21,2,45,18
364,1847,394,1,1033936,0,30000,1063936,3,2024-01-18,5,12,13
365,458,102,1,1148263,172239,15000,991024,3,2024-03-27,5,68,27
366,686,396,1,1043936,0,0,1043936,2,2024-03-16,5,52,22
367,2071,114,1,1138263,56913,20000,1101350,12,2025-07-02,5,69,21
368,556,8,1,303478,0,15000,318478,7,2025-04-22,2,33,2
369,1771,454,1,382900,0,10000,392900,10,2023-12-13,2,74,9
370,343,495,2,1194592,59729,10000,2279726,1,2024-09-04,4,37,19
371,1479,203,1,1015325,0,0,1015325,6,2023-01-25,1,4,1
372,1321,328,1,1147247,0,25000,1172247,9,2025-07-05,3,38,13
373,2005,458,1,392900,39290,25000,378610,8,2025-04-25,3,63,4
374,29,233,5,1179215,58960,20000,5621275,5,2023-04-12,3,6,25
375,2089,238,1,1199215,0,0,1199215,3,2024-11-26,4,57,28
376,1862,454,1,382900,0,25000,407900,1,2023-12-09,2,16,5
377,968,134,1,1417646,0,0,1417646,2,2026-01-25,5,25,7
378,114,438,4,1023839,51191,25000,3915592,10,2024-06-07,1,77,24
379,1491,31,1,751327,0,20000,771327,2,2023-03-22,3,61,9
380,1119,487,3,445632,0,20000,1356896,7,2026-07-30,1,35,18
381,1441,451,2,1013839,50691,10000,1936296,2,2026-01-12,4,21,29
382,230,459,2,392900,0,15000,800800,9,2024-06-05,4,11,27
383,2222,534,1,585602,0,0,585602,5,2024-05-19,1,43,21
384,2048,412,1,1212030,60601,0,1151429,6,2025-04-13,4,17,29
385,2313,409,2,1172030,0,20000,2364060,3,2024-07-02,1,13,24
386,1730,314,1,155454,7772,20000,167682,1,2025-07-10,5,17,25
