return_id,order_id,customer_id,subproduct_id,return_date,reason,status,refund_amount,processed_by,resolution_date
39,7814,1795,58,2026-07-17,Produk rusak / cacat,Approved,1500000,73,2026-07-18
40,4348,1601,348,2026-07-30,Ukuran tidak sesuai,Approved,1000000,26,2026-08-13
41,7689,1008,454,2025-05-23,Tidak sesuai ekspektasi,Approved,750000,43,2025-05-28
42,603,1043,498,2026-05-10,Diterima dalam kondisi tidak baik,Rejected,250000,21,2026-05-18
43,4999,266,137,2026-01-08,Keterlambatan pengiriman,Refund Processed,100000,47,2026-01-15
44,5628,865,215,2025-11-05,Produk rusak / cacat,Approved,250000,30,2025-11-08
45,8548,1074,254,2023-10-18,Warna tidak sesuai deskripsi,Exchange Sent,300000,66,2023-10-25
46,7913,23,66,2024-02-24,Salah order,Exchange Sent,1500000,30,2024-03-06
47,3390,221,511,2024-06-19,Produk tidak berfungsi,Approved,250000,51,2024-06-26
48,9977,2202,319,2023-06-12,Keterlambatan pengiriman,Exchange Sent,1000000,24,2023-06-26
49,8636,716,336,2025-06-16,Produk tidak berfungsi,Approved,150000,75,2025-06-26
50,9254,759,448,2023-04-17,Produk tidak berfungsi,Refund Processed,1000000,15,2023-04-18
51,5166,234,412,2023-03-09,Warna tidak sesuai deskripsi,Refund Processed,75000,13,2023-03-12
52,206,1047,248,2024-02-24,Pesanan salah kirim,Approved,150000,5,2024-02-26
53,6525,1954,338,2024-04-20,Warna tidak sesuai deskripsi,Refund Processed,500000,64,2024-05-02
54,8401,975,118,2026-05-04,Ukuran tidak sesuai,Approved,300000,45,2026-05-18
55,7117,585,462,2023-06-28,Diterima dalam kondisi tidak baik,Approved,750000,72,2023-07-01
56,8824,1005,169,2024-05-01,Tidak sesuai ekspektasi,Refund Processed,75000,40,2024-05-03
57,9774,17,264,2024-05-26,Produk tidak berfungsi,Exchange Sent,250000,15,2024-05-30
58,7965,58,65,2024-10-30,Tidak sesuai ekspektasi,Pending Review,1500000,67,2024-11-10
59,8530,1005,377,2025-04-21,Customer tidak jadi beli,Refund Processed,250000,27,2025-04-30
60,6874,159,76,2025-10-21,Ukuran tidak sesuai,Pending Review,50000,61,2025-10-28
61,6137,2169,11,2026-01-06,Pesanan salah kirim,Exchange Sent,500000,20,2026-01-09
62,8357,672,310,2026-04-06,Ukuran tidak sesuai,Exchange Sent,200000,58,2026-04-07
63,522,2054,80,2024-08-15,Keterlambatan pengiriman,Refund Processed,200000,60,2024-08-21
64,2974,1903,142,2023-10-16,Diterima dalam kondisi tidak baik,Exchange Sent,750000,40,2023-10-25
65,1354,1333,510,2026-03-25,Salah order,Exchange Sent,1000000,22,2026-03-29
66,7978,1289,74,2025-08-19,Customer tidak jadi beli,Refund Processed,75000,32,2025-08-27
67,4291,1595,317,2024-05-25,Diterima dalam kondisi tidak baik,Refund Processed,250000,69,2024-06-06
68,2788,2423,20,2026-03-02,Diterima dalam kondisi tidak baik,Pending Review,1500000,17,2026-03-05
69,5488,569,473,2025-06-26,Ukuran tidak sesuai,Refund Processed,1500000,36,2025-06-29
70,5521,407,289,2023-07-24,Warna tidak sesuai deskripsi,Approved,250000,56,2023-07-29
71,9081,2323,56,2024-06-19,Keterlambatan pengiriman,Approved,500000,5,2024-06-24
72,6410,1892,221,2024-09-24,Ukuran tidak sesuai,Approved,400000,22,2024-10-03
73,1201,539,322,2024-10-07,Tidak sesuai ekspektasi,Pending Review,100000,46,2024-10-21
74,7484,1839,163,2025-06-05,Tidak sesuai ekspektasi,Approved,50000,1,2025-06-19
75,6352,1795,447,2024-04-29,Tidak sesuai ekspektasi,Approved,100000,8,2024-05-11
76,9391,925,1,2025-07-24,Produk tidak berfungsi,Approved,50000,19,2025-07-31
77,5507,264,199,2026-04-21,Warna tidak sesuai deskripsi,Pending Review,400000,71,2026-04-24
78,268,730,548,2023-11-24,Produk rusak / cacat,Pending Review,500000,12,2023-11-28
79,3098,2158,525,2025-10-08,Warna tidak sesuai deskripsi,Refund Processed,250000,63,2025-10-10
80,9605,1056,218,2026-06-23,Keterlambatan pengiriman,Rejected,1000000,44,2026-07-05
81,1445,78,549,2026-04-25,Warna tidak sesuai deskripsi,Approved,100000,38,2026-05-08
82,5956,78,413,2025-11-19,Produk tidak berfungsi,Rejected,100000,69,2025-11-27
83,211,582,115,2024-09-01,Salah order,Approved,150000,42,2024-09-03
84,5766,95,209,2025-03-01,Customer tidak jadi beli,Exchange Sent,200000,53,2025-03-02
85,3755,1958,465,2026-06-07,Pesanan salah kirim,Refund Processed,150000,16,2026-06-17
86,6648,1543,355,2026-06-18,Pesanan salah kirim,Approved,75000,29,2026-06-27
87,8717,825,178,2026-01-22,Keterlambatan pengiriman,Approved,200000,24,2026-02-01
88,8209,1278,267,2023-02-10,Ukuran tidak sesuai,Pending Review,300000,51,2023-02-17
89,979,1425,318,2026-04-21,Customer tidak jadi beli,Approved,400000,24,2026-04-23
90,4714,1487,212,2023-07-28,Produk rusak / cacat,Refund Processed,1500000,1,2023-08-04
91,8107,414,228,2026-06-26,Produk tidak berfungsi,Rejected,200000,35,2026-07-06
92,3824,2196,173,2024-10-23,Customer tidak jadi beli,Exchange Sent,500000,71,2024-10-24
93,8916,1164,399,2024-09-10,Ukuran tidak sesuai,Approved,50000,46,2024-09-22
94,7927,296,223,2024-07-15,Diterima dalam kondisi tidak baik,Exchange Sent,50000,66,2024-07-27
95,2910,2124,46,2025-08-29,Tidak sesuai ekspektasi,Approved,100000,43,2025-09-07
96,2520,739,195,2024-08-10,Salah order,Approved,150000,53,2024-08-14
97,8789,1108,426,2024-01-12,Customer tidak jadi beli,Pending Review,750000,44,2024-01-17
98,7283,809,493,2023-04-05,Produk tidak berfungsi,Refund Processed,100000,48,2023-04-11
99,6203,2451,48,2025-02-14,Salah order,Approved,75000,42,2025-02-19
100,7558,1372,256,2025-12-15,Tidak sesuai ekspektasi,Refund Processed,400000,72,2025-12-25
101,724,2020,357,2024-11-23,Keterlambatan pengiriman,Refund Processed,1500000,64,2024-12-01
102,167,415,389,2026-05-15,Warna tidak sesuai deskripsi,Approved,500000,38,2026-05-23
103,2208,1176,121,2024-08-14,Warna tidak sesuai deskripsi,Exchange Sent,75000,46,2024-08-17
104,7477,1480,71,2026-08-09,Pesanan salah kirim,Approved,1000000,56,2026-08-11
105,3166,224,451,2025-07-03,Warna tidak sesuai deskripsi,Approved,1500000,31,2025-07-04
106,345,656,184,2026-01-06,Produk rusak / cacat,Exchange Sent,50000,71,2026-01-09
107,4201,1386,38,2024-06-17,Pesanan salah kirim,Approved,500000,49,2024-06-23
108,5768,196,143,2024-11-20,Pesanan salah kirim,Refund Processed,300000,16,2024-12-04
109,4456,266,549,2026-07-05,Produk rusak / cacat,Rejected,75000,12,2026-07-11
110,7116,2148,420,2025-07-18,Produk rusak / cacat,Pending Review,400000,9,2025-07-29
111,6888,1595,194,2023-03-08,Diterima dalam kondisi tidak baik,Refund Processed,150000,11,2023-03-13
112,6,1642,480,2023-05-22,Customer tidak jadi beli,Approved,500000,12,2023-05-25
113,1780,961,114,2025-10-21,Keterlambatan pengiriman,Approved,750000,26,2025-10-28
114,1026,547,363,2025-01-21,Produk rusak / cacat,Refund Processed,75000,49,2025-02-02
115,8362,2126,279,2025-09-12,Produk tidak berfungsi,Approved,500000,63,2025-09-26
116,5818,2271,352,2023-07-05,Warna tidak sesuai deskripsi,Approved,50000,49,2023-07-17
117,1455,1157,316,2026-01-06,Diterima dalam kondisi tidak baik,Approved,250000,29,2026-01-16
118,1359,1546,83,2024-12-19,Produk tidak berfungsi,Approved,200000,10,2024-12-23
119,7098,1399,438,2026-03-06,Produk rusak / cacat,Approved,1500000,24,2026-03-14
120,141,13,464,2023-06-06,Tidak sesuai ekspektasi,Pending Review,50000,67,2023-06-09
121,8779,1147,138,2024-02-12,Ukuran tidak sesuai,Refund Processed,1000000,20,2024-02-22
122,6185,1355,529,2025-02-05,Salah order,Rejected,150000,64,2025-02-10
123,1204,352,300,2026-02-03,Warna tidak sesuai deskripsi,Refund Processed,200000,49,2026-02-08
124,8956,396,126,2023-05-10,Salah order,Approved,150000,7,2023-05-24
125,6623,1555,67,2023-10-21,Keterlambatan pengiriman,Pending Review,250000,7,2023-10-22
126,478,796,178,2026-02-25,Diterima dalam kondisi tidak baik,Approved,250000,48,2026-03-03
127,5284,1725,478,2024-12-25,Diterima dalam kondisi tidak baik,Pending Review,200000,55,2024-12-30
128,4302,1037,432,2024-03-17,Produk tidak berfungsi,Approved,100000,17,2024-03-30
129,7742,1393,317,2024-01-15,Keterlambatan pengiriman,Approved,150000,33,2024-01-29
130,542,2115,366,2026-02-16,Produk tidak berfungsi,Refund Processed,200000,68,2026-02-20
131,9202,73,179,2025-03-07,Produk rusak / cacat,Pending Review,400000,4,2025-03-09
132,5486,916,466,2024-03-27,Ukuran tidak sesuai,Refund Processed,100000,30,2024-04-05
133,6785,63,530,2023-04-24,Warna tidak sesuai deskripsi,Refund Processed,100000,51,2023-05-05
134,5708,810,509,2024-04-29,Produk rusak / cacat,Refund Processed,100000,61,2024-05-10
135,390,384,391,2024-06-07,Produk tidak berfungsi,Approved,300000,5,2024-06-08
136,2685,2080,285,2023-03-08,Diterima dalam kondisi tidak baik,Exchange Sent,750000,62,2023-03-13
137,6866,2454,545,2025-10-04,Keterlambatan pengiriman,Refund Processed,250000,41,2025-10-10
138,1053,1067,377,2025-08-13,Produk rusak / cacat,Approved,100000,3,2025-08-16
139,2360,1952,467,2023-02-18,Diterima dalam kondisi tidak baik,Exchange Sent,1000000,22,2023-02-25
140,6097,2414,375,2025-04-15,Salah order,Refund Processed,1500000,61,2025-04-24
141,3850,1527,302,2024-12-16,Produk tidak berfungsi,Approved,500000,67,2024-12-21
142,1285,807,163,2025-03-21,Salah order,Pending Review,750000,24,2025-04-01
143,937,1954,281,2023-08-18,Tidak sesuai ekspektasi,Approved,75000,74,2023-08-20
144,8499,650,550,2026-07-17,Produk tidak berfungsi,Pending Review,200000,34,2026-07-19
145,6345,594,419,2025-01-25,Produk rusak / cacat,Refund Processed,1500000,54,2025-02-05
146,8807,1117,167,2026-01-16,Warna tidak sesuai deskripsi,Rejected,1000000,33,2026-01-24
147,5017,72,3,2025-02-01,Salah order,Approved,400000,15,2025-02-11
148,2395,882,333,2026-06-08,Produk tidak berfungsi,Pending Review,150000,38,2026-06-18
149,4771,1679,235,2025-07-08,Warna tidak sesuai deskripsi,Pending Review,200000,65,2025-07-13
150,6378,1163,232,2026-06-15,Ukuran tidak sesuai,Pending Review,250000,13,2026-06-20
151,6038,2391,412,2023-05-26,Customer tidak jadi beli,Pending Review,75000,32,2023-06-03
152,2073,298,195,2023-06-30,Tidak sesuai ekspektasi,Approved,750000,10,2023-07-09
153,8765,1887,498,2025-03-22,Customer tidak jadi beli,Exchange Sent,750000,55,2025-04-05
154,5534,1786,490,2025-02-13,Keterlambatan pengiriman,Approved,75000,29,2025-02-16
155,8473,2060,480,2025-07-20,Customer tidak jadi beli,Approved,500000,1,2025-07-28
156,1959,2106,295,2026-06-27,Salah order,Pending Review,400000,49,2026-06-29
157,2733,152,53,2024-07-18,Ukuran tidak sesuai,Approved,50000,26,2024-07-27
158,9656,2492,517,2023-11-26,Pesanan salah kirim,Refund Processed,50000,12,2023-12-04
159,6329,484,379,2023-09-13,Warna tidak sesuai deskripsi,Pending Review,400000,30,2023-09-25
160,7081,699,6,2024-12-23,Ukuran tidak sesuai,Approved,200000,10,2024-12-28
161,1017,441,221,2023-08-09,Salah order,Approved,1000000,51,2023-08-17
162,2229,816,85,2025-07-11,Ukuran tidak sesuai,Refund Processed,200000,30,2025-07-16
163,7451,172,434,2023-11-14,Keterlambatan pengiriman,Refund Processed,300000,20,2023-11-21
164,338,1642,348,2025-03-02,Pesanan salah kirim,Refund Processed,750000,24,2025-03-10
165,5727,1288,342,2025-04-01,Keterlambatan pengiriman,Refund Processed,50000,76,2025-04-06
166,7369,2088,166,2025-04-22,Ukuran tidak sesuai,Refund Processed,150000,6,2025-04-25
167,7392,689,490,2024-06-22,Salah order,Approved,250000,44,2024-06-27
168,4978,924,460,2024-08-23,Customer tidak jadi beli,Refund Processed,250000,14,2024-08-28
169,7029,2349,232,2023-10-05,Salah order,Approved,500000,75,2023-10-18
170,463,942,432,2024-05-16,Customer tidak jadi beli,Pending Review,75000,70,2024-05-25
171,2599,1341,143,2026-08-22,Tidak sesuai ekspektasi,Approved,1000000,7,2026-09-03
172,8546,1005,332,2025-01-24,Produk rusak / cacat,Approved,1500000,36,2025-01-30
173,5323,184,285,2025-11-13,Warna tidak sesuai deskripsi,Pending Review,750000,16,2025-11-15
174,8468,2173,322,2025-10-16,Pesanan salah kirim,Rejected,100000,30,2025-10-27
175,8434,2492,15,2025-09-28,Produk rusak / cacat,Exchange Sent,750000,28,2025-10-12
176,9119,1858,355,2025-06-21,Warna tidak sesuai deskripsi,Approved,50000,39,2025-06-24
177,2251,1329,422,2026-02-24,Pesanan salah kirim,Approved,1500000,19,2026-02-28
178,5630,425,10,2026-08-23,Diterima dalam kondisi tidak baik,Exchange Sent,250000,8,2026-09-05
179,8195,2487,15,2024-07-02,Ukuran tidak sesuai,Rejected,1500000,23,2024-07-13
180,1717,661,410,2025-04-25,Salah order,Approved,200000,69,2025-05-01
181,8937,2207,292,2024-11-20,Warna tidak sesuai deskripsi,Approved,50000,2,2024-12-04
182,6046,1188,134,2024-04-24,Keterlambatan pengiriman,Approved,75000,76,2024-04-27
183,3685,2118,393,2026-06-10,Diterima dalam kondisi tidak baik,Refund Processed,1500000,5,2026-06-22
184,9342,179,440,2024-12-19,Customer tidak jadi beli,Refund Processed,75000,29,2024-12-30
185,5572,923,98,2026-03-11,Customer tidak jadi beli,Approved,200000,24,2026-03-24
186,1522,1334,282,2024-07-03,Warna tidak sesuai deskripsi,Refund Processed,1000000,34,2024-07-07
187,4453,387,210,2025-09-06,Ukuran tidak sesuai,Pending Review,400000,40,2025-09-15
188,8296,788,191,2025-07-02,Produk rusak / cacat,Rejected,500000,29,2025-07-10
189,3986,96,527,2023-12-20,Warna tidak sesuai deskripsi,Approved,1000000,17,2023-12-30
190,3331,1012,78,2024-05-26,Diterima dalam kondisi tidak baik,Rejected,1500000,7,2024-05-27
191,5277,463,300,2025-10-08,Warna tidak sesuai deskripsi,Approved,50000,22,2025-10-22
192,4335,1726,493,2025-08-06,Diterima dalam kondisi tidak baik,Refund Processed,150000,4,2025-08-14
193,6524,2370,394,2025-02-27,Produk rusak / cacat,Approved,75000,66,2025-03-13
194,705,1679,187,2023-02-15,Pesanan salah kirim,Rejected,150000,16,2023-02-24
195,8201,2426,302,2025-05-20,Ukuran tidak sesuai,Pending Review,250000,44,2025-05-28
196,1317,1179,328,2024-04-12,Warna tidak sesuai deskripsi,Rejected,100000,16,2024-04-25
197,3230,1830,212,2024-09-05,Diterima dalam kondisi tidak baik,Pending Review,300000,57,2024-09-08
198,8277,2229,407,2023-11-20,Ukuran tidak sesuai,Exchange Sent,400000,3,2023-11-28
199,3269,508,414,2024-04-24,Diterima dalam kondisi tidak baik,Exchange Sent,50000,34,2024-04-26
200,282,699,154,2025-12-01,Salah order,Refund Processed,1500000,17,2025-12-11
201,3182,1673,215,2025-12-31,Pesanan salah kirim,Approved,100000,31,2026-01-07
202,4396,2405,141,2024-09-30,Warna tidak sesuai deskripsi,Pending Review,50000,28,2024-10-03
203,9251,215,459,2023-07-07,Warna tidak sesuai deskripsi,Approved,1000000,53,2023-07-11
204,3784,794,552,2025-11-04,Produk rusak / cacat,Pending Review,300000,10,2025-11-10
205,1395,564,163,2025-11-15,Warna tidak sesuai deskripsi,Approved,1500000,70,2025-11-21
206,9833,632,456,2026-03-12,Produk tidak berfungsi,Refund Processed,300000,48,2026-03-24
207,5195,406,531,2023-02-24,Diterima dalam kondisi tidak baik,Approved,500000,70,2023-03-10
208,1373,1218,316,2025-03-15,Keterlambatan pengiriman,Approved,100000,8,2025-03-27
209,5590,1230,320,2024-10-31,Diterima dalam kondisi tidak baik,Approved,250000,5,2024-11-01
210,9086,447,391,2023-05-12,Produk tidak berfungsi,Pending Review,500000,75,2023-05-15
211,8810,598,342,2023-07-05,Produk rusak / cacat,Approved,250000,61,2023-07-17
212,2187,1209,450,2026-05-04,Customer tidak jadi beli,Exchange Sent,50000,64,2026-05-08
213,8753,1644,104,2023-11-15,Salah order,Refund Processed,750000,35,2023-11-21
214,2220,1686,285,2026-01-16,Ukuran tidak sesuai,Rejected,300000,35,2026-01-25
215,7930,622,485,2024-02-13,Diterima dalam kondisi tidak baik,Refund Processed,300000,12,2024-02-14
216,8066,1574,501,2025-06-07,Salah order,Approved,300000,59,2025-06-13
217,6527,2114,240,2024-01-09,Pesanan salah kirim,Pending Review,1000000,8,2024-01-15
218,4209,1644,489,2023-05-16,Keterlambatan pengiriman,Refund Processed,250000,35,2023-05-23
219,9470,2182,315,2026-01-08,Salah order,Approved,50000,20,2026-01-21
220,5580,513,459,2024-01-09,Produk rusak / cacat,Pending Review,500000,39,2024-01-18
221,6486,362,15,2024-10-29,Pesanan salah kirim,Exchange Sent,1500000,71,2024-11-07
222,3673,1853,121,2025-03-03,Salah order,Approved,500000,54,2025-03-08
223,8213,2113,87,2026-08-06,Produk tidak berfungsi,Refund Processed,50000,64,2026-08-07
224,2067,128,286,2025-03-02,Keterlambatan pengiriman,Pending Review,75000,55,2025-03-08
225,9991,1831,282,2023-10-14,Customer tidak jadi beli,Pending Review,1000000,59,2023-10-19
226,98,305,4,2026-05-18,Diterima dalam kondisi tidak baik,Refund Processed,1000000,22,2026-05-29
227,9851,114,225,2023-09-07,Ukuran tidak sesuai,Approved,250000,29,2023-09-11
228,9981,483,454,2023-08-18,Ukuran tidak sesuai,Approved,250000,26,2023-08-26
229,8102,673,519,2024-03-19,Warna tidak sesuai deskripsi,Rejected,100000,49,2024-03-20
230,5627,326,266,2024-05-24,Ukuran tidak sesuai,Pending Review,50000,38,2024-06-04
231,9579,1256,307,2024-04-29,Tidak sesuai ekspektasi,Pending Review,500000,21,2024-05-08
232,2005,923,215,2025-02-09,Keterlambatan pengiriman,Pending Review,200000,69,2025-02-14
233,860,270,22,2026-03-17,Produk tidak berfungsi,Approved,750000,50,2026-03-29
234,5909,280,121,2023-03-12,Tidak sesuai ekspektasi,Approved,1000000,11,2023-03-26
235,7550,752,29,2025-03-22,Produk rusak / cacat,Approved,50000,35,2025-03-27
236,5929,79,486,2025-08-26,Keterlambatan pengiriman,Refund Processed,400000,2,2025-09-02
237,6894,371,436,2024-03-05,Warna tidak sesuai deskripsi,Approved,200000,42,2024-03-17
238,5170,1371,308,2024-11-25,Keterlambatan pengiriman,Refund Processed,100000,43,2024-12-09
239,5877,295,17,2023-05-02,Pesanan salah kirim,Rejected,300000,2,2023-05-11
240,3549,1635,25,2023-08-19,Warna tidak sesuai deskripsi,Approved,300000,50,2023-08-20
241,7358,901,22,2023-09-21,Keterlambatan pengiriman,Pending Review,75000,31,2023-09-26
242,5621,1370,477,2024-07-26,Diterima dalam kondisi tidak baik,Refund Processed,1500000,29,2024-08-04
243,3154,1678,385,2025-06-11,Salah order,Refund Processed,400000,77,2025-06-19
244,2961,1592,178,2023-12-21,Produk rusak / cacat,Approved,1000000,13,2023-12-31
245,6265,2427,28,2024-08-03,Pesanan salah kirim,Pending Review,50000,29,2024-08-14
246,1024,1429,195,2024-11-22,Customer tidak jadi beli,Approved,150000,12,2024-11-30
247,6795,2316,111,2025-05-29,Warna tidak sesuai deskripsi,Approved,400000,5,2025-06-02
248,6150,1670,422,2024-02-23,Salah order,Refund Processed,750000,12,2024-02-27
249,8200,1566,275,2026-04-25,Produk rusak / cacat,Approved,400000,64,2026-05-08
250,4350,1181,477,2024-01-15,Warna tidak sesuai deskripsi,Pending Review,250000,2,2024-01-23
251,2866,1098,292,2025-09-16,Customer tidak jadi beli,Pending Review,400000,5,2025-09-20
252,9160,810,275,2023-06-17,Produk tidak berfungsi,Approved,100000,38,2023-06-20
253,6168,1322,315,2023-02-02,Produk tidak berfungsi,Refund Processed,500000,19,2023-02-15
254,1134,1695,309,2024-12-18,Customer tidak jadi beli,Refund Processed,1500000,64,2024-12-20
255,4849,518,142,2024-08-28,Produk tidak berfungsi,Refund Processed,75000,44,2024-08-31
256,4349,1596,419,2023-04-28,Ukuran tidak sesuai,Approved,250000,26,2023-05-08
257,8239,1197,150,2025-02-26,Ukuran tidak sesuai,Approved,150000,18,2025-03-01
258,9920,1985,171,2023-08-01,Customer tidak jadi beli,Pending Review,1500000,55,2023-08-14
259,5280,2444,457,2023-05-31,Diterima dalam kondisi tidak baik,Approved,50000,38,2023-06-05
260,900,2287,206,2026-05-14,Tidak sesuai ekspektasi,Pending Review,400000,60,2026-05-18
261,6236,1449,160,2025-08-06,Keterlambatan pengiriman,Approved,250000,48,2025-08-09
262,846,1717,74,2024-10-16,Tidak sesuai ekspektasi,Pending Review,400000,37,2024-10-22
263,9601,1267,45,2024-02-04,Keterlambatan pengiriman,Rejected,200000,31,2024-02-15
264,6364,1294,532,2026-05-21,Ukuran tidak sesuai,Approved,1500000,29,2026-05-24
265,4891,485,388,2023-06-10,Salah order,Rejected,1500000,53,2023-06-13
266,1761,1748,181,2023-04-18,Warna tidak sesuai deskripsi,Approved,750000,16,2023-04-25
267,7628,1626,66,2023-08-20,Tidak sesuai ekspektasi,Exchange Sent,300000,59,2023-08-25
268,9397,799,483,2025-10-22,Produk rusak / cacat,Approved,250000,69,2025-11-03
269,5320,1272,17,2023-09-27,Salah order,Approved,50000,23,2023-10-10
270,3976,2350,358,2024-09-20,Salah order,Approved,750000,73,2024-10-01
271,7298,2042,435,2024-08-05,Diterima dalam kondisi tidak baik,Approved,50000,37,2024-08-09
272,4357,305,13,2025-07-28,Customer tidak jadi beli,Approved,400000,25,2025-08-07
273,7197,2013,14,2024-02-24,Produk tidak berfungsi,Approved,50000,59,2024-03-04
274,9221,902,259,2024-08-22,Keterlambatan pengiriman,Rejected,150000,60,2024-09-02
275,9364,791,150,2023-08-05,Produk tidak berfungsi,Refund Processed,500000,10,2023-08-15
276,5637,1403,274,2026-04-30,Warna tidak sesuai deskripsi,Refund Processed,150000,49,2026-05-12
277,4071,1962,51,2024-02-02,Produk tidak berfungsi,Exchange Sent,1500000,68,2024-02-10
278,7463,2490,440,2023-02-26,Produk rusak / cacat,Approved,50000,10,2023-03-09
279,9421,1167,119,2023-03-19,Keterlambatan pengiriman,Pending Review,150000,11,2023-03-23
280,4506,2175,53,2023-07-02,Salah order,Refund Processed,400000,27,2023-07-16
281,800,2170,388,2025-08-18,Diterima dalam kondisi tidak baik,Refund Processed,75000,31,2025-08-24
282,2986,2348,519,2026-03-28,Produk rusak / cacat,Rejected,50000,24,2026-04-05
283,2021,2288,172,2024-02-08,Ukuran tidak sesuai,Approved,750000,74,2024-02-13
284,327,615,300,2023-02-07,Customer tidak jadi beli,Approved,50000,27,2023-02-16
285,7015,1408,67,2025-08-03,Keterlambatan pengiriman,Pending Review,75000,64,2025-08-17
286,8134,270,119,2024-08-06,Ukuran tidak sesuai,Approved,150000,70,2024-08-11
287,2161,788,238,2026-05-19,Pesanan salah kirim,Exchange Sent,150000,14,2026-05-21
288,7821,827,486,2026-02-05,Salah order,Refund Processed,300000,6,2026-02-15
289,8768,2221,14,2024-02-26,Customer tidak jadi beli,Exchange Sent,100000,68,2024-02-27
290,701,983,454,2025-03-12,Ukuran tidak sesuai,Pending Review,1000000,64,2025-03-20
291,7706,714,131,2026-02-03,Produk tidak berfungsi,Approved,300000,3,2026-02-08
292,8879,1075,101,2024-12-22,Diterima dalam kondisi tidak baik,Pending Review,750000,64,2024-12-24
293,2320,2255,13,2025-09-25,Produk tidak berfungsi,Approved,75000,64,2025-10-02
294,5339,753,323,2024-04-05,Customer tidak jadi beli,Pending Review,100000,38,2024-04-09
295,6059,1849,221,2024-06-09,Tidak sesuai ekspektasi,Pending Review,300000,28,2024-06-14
296,3619,2240,163,2025-09-14,Produk rusak / cacat,Rejected,1000000,21,2025-09-19
297,9793,1133,428,2024-12-11,Warna tidak sesuai deskripsi,Approved,100000,55,2024-12-14
