subproduct_id,product_id,variant_name,sku,size,color,price_adjustment,final_price
35,2,Biru - XL,SKU-002-0035,XL,Biru,0,771327
36,2,Navy - XL,SKU-002-0036,XL,Navy,-10000,761327
37,2,Merah - XXL,SKU-002-0037,XXL,Merah,20000,791327
38,2,Biru - XXL,SKU-002-0038,XXL,Biru,-10000,761327
39,2,Khaki - XXL,SKU-002-0039,XXL,Khaki,20000,791327
40,2,Hitam - XXL,SKU-002-0040,XXL,Hitam,-10000,761327
41,3,Abu-abu - S,SKU-003-0041,S,Abu-abu,-10000,1009429
42,3,Biru - S,SKU-003-0042,S,Biru,-20000,999429
43,3,Navy - S,SKU-003-0043,S,Navy,0,1019429
44,3,Hitam - S,SKU-003-0044,S,Hitam,10000,1029429
45,3,Merah - M,SKU-003-0045,M,Merah,0,1019429
46,3,Hitam - M,SKU-003-0046,M,Hitam,-10000,1009429
47,3,Putih - M,SKU-003-0047,M,Putih,10000,1029429
48,3,Olive - M,SKU-003-0048,M,Olive,10000,1029429
49,3,Olive - L,SKU-003-0049,L,Olive,-10000,1009429
50,3,Putih - L,SKU-003-0050,L,Putih,20000,1039429
51,3,Navy - L,SKU-003-0051,L,Navy,20000,1039429
52,3,Khaki - L,SKU-003-0052,L,Khaki,0,1019429
53,3,Khaki - XL,SKU-003-0053,XL,Khaki,-10000,1009429
54,3,Merah - XL,SKU-003-0054,XL,Merah,-10000,1009429
55,3,Abu-abu - XL,SKU-003-0055,XL,Abu-abu,20000,1039429
56,3,Navy - XL,SKU-003-0056,XL,Navy,10000,1029429
57,3,Putih - XXL,SKU-003-0057,XXL,Putih,-10000,1009429
58,3,Khaki - XXL,SKU-003-0058,XXL,Khaki,-10000,1009429
59,3,Hitam - XXL,SKU-003-0059,XXL,Hitam,10000,1029429
60,3,Biru - XXL,SKU-003-0060,XXL,Biru,20000,1039429
61,4,Olive - S,SKU-004-0061,S,Olive,-20000,836915
62,4,Merah - S,SKU-004-0062,S,Merah,-20000,836915
63,4,Navy - S,SKU-004-0063,S,Navy,20000,876915
64,4,Khaki - S,SKU-004-0064,S,Khaki,0,856915
65,4,Biru - M,SKU-004-0065,M,Biru,-10000,846915
66,4,Hitam - M,SKU-004-0066,M,Hitam,10000,866915
67,4,Navy - M,SKU-004-0067,M,Navy,-20000,836915
68,4,Abu-abu - M,SKU-004-0068,M,Abu-abu,0,856915
69,4,Navy - L,SKU-004-0069,L,Navy,20000,876915
70,4,Merah - L,SKU-004-0070,L,Merah,20000,876915
71,4,Hitam - L,SKU-004-0071,L,Hitam,-10000,846915
72,4,Olive - L,SKU-004-0072,L,Olive,-10000,846915
73,4,Biru - XL,SKU-004-0073,XL,Biru,20000,876915
74,4,Khaki - XL,SKU-004-0074,XL,Khaki,-20000,836915
75,4,Putih - XL,SKU-004-0075,XL,Putih,20000,876915
76,4,Merah - XL,SKU-004-0076,XL,Merah,0,856915
77,4,Olive - XXL,SKU-004-0077,XXL,Olive,0,856915
78,4,Hitam - XXL,SKU-004-0078,XXL,Hitam,-10000,846915
79,4,Khaki - XXL,SKU-004-0079,XXL,Khaki,-20000,836915
80,4,Navy - XXL,SKU-004-0080,XXL,Navy,-10000,846915
81,5,Olive - S,SKU-005-0081,S,Olive,-10000,205165
82,5,Khaki - S,SKU-005-0082,S,Khaki,-10000,205165
83,5,Hitam - S,SKU-005-0083,S,Hitam,10000,225165
84,5,Merah - S,SKU-005-0084,S,Merah,20000,235165
85,5,Navy - M,SKU-005-0085,M,Navy,10000,225165
86,5,Olive - M,SKU-005-0086,M,Olive,-10000,205165
87,5,Merah - M,SKU-005-0087,M,Merah,20000,235165
88,5,Biru - M,SKU-005-0088,M,Biru,-10000,205165
89,5,Merah - L,SKU-005-0089,L,Merah,10000,225165
90,5,Abu-abu - L,SKU-005-0090,L,Abu-abu,20000,235165
91,5,Biru - L,SKU-005-0091,L,Biru,10000,225165
92,5,Navy - L,SKU-005-0092,L,Navy,-20000,195165
93,5,Abu-abu - XL,SKU-005-0093,XL,Abu-abu,-20000,195165
94,5,Putih - XL,SKU-005-0094,XL,Putih,20000,235165
95,5,Hitam - XL,SKU-005-0095,XL,Hitam,20000,235165
96,5,Navy - XL,SKU-005-0096,XL,Navy,-10000,205165
97,5,Abu-abu - XXL,SKU-005-0097,XXL,Abu-abu,-10000,205165
98,5,Hitam - XXL,SKU-005-0098,XXL,Hitam,-20000,195165
99,5,Khaki - XXL,SKU-005-0099,XXL,Khaki,-20000,195165
100,5,Biru - XXL,SKU-005-0100,XXL,Biru,0,215165
101,6,Olive - S,SKU-006-0101,S,Olive,20000,1148263
102,6,Putih - S,SKU-006-0102,S,Putih,20000,1148263
103,6,Merah - S,SKU-006-0103,S,Merah,10000,1138263
104,6,Khaki - S,SKU-006-0104,S,Khaki,-10000,1118263
105,6,Olive - M,SKU-006-0105,M,Olive,-20000,1108263
106,6,Khaki - M,SKU-006-0106,M,Khaki,-20000,1108263
107,6,Abu-abu - M,SKU-006-0107,M,Abu-abu,10000,1138263
108,6,Putih - M,SKU-006-0108,M,Putih,0,1128263
109,6,Khaki - L,SKU-006-0109,L,Khaki,-20000,1108263
110,6,Abu-abu - L,SKU-006-0110,L,Abu-abu,-20000,1108263
111,6,Olive - L,SKU-006-0111,L,Olive,10000,1138263
112,6,Hitam - L,SKU-006-0112,L,Hitam,0,1128263
113,6,Putih - XL,SKU-006-0113,XL,Putih,20000,1148263
114,6,Olive - XL,SKU-006-0114,XL,Olive,10000,1138263
115,6,Khaki - XL,SKU-006-0115,XL,Khaki,-10000,1118263
116,6,Biru - XL,SKU-006-0116,XL,Biru,10000,1138263
117,6,Navy - XXL,SKU-006-0117,XXL,Navy,-20000,1108263
118,6,Olive - XXL,SKU-006-0118,XXL,Olive,10000,1138263
119,6,Abu-abu - XXL,SKU-006-0119,XXL,Abu-abu,20000,1148263
120,6,Putih - XXL,SKU-006-0120,XXL,Putih,-20000,1108263
121,7,Hitam - S,SKU-007-0121,S,Hitam,10000,1427646
122,7,Olive - S,SKU-007-0122,S,Olive,10000,1427646
123,7,Putih - S,SKU-007-0123,S,Putih,10000,1427646
124,7,Biru - S,SKU-007-0124,S,Biru,-10000,1407646
125,7,Khaki - M,SKU-007-0125,M,Khaki,-20000,1397646
126,7,Hitam - M,SKU-007-0126,M,Hitam,10000,1427646
127,7,Putih - M,SKU-007-0127,M,Putih,0,1417646
128,7,Abu-abu - M,SKU-007-0128,M,Abu-abu,10000,1427646
129,7,Merah - L,SKU-007-0129,L,Merah,10000,1427646
130,7,Abu-abu - L,SKU-007-0130,L,Abu-abu,-10000,1407646
131,7,Biru - L,SKU-007-0131,L,Biru,-10000,1407646
132,7,Olive - L,SKU-007-0132,L,Olive,0,1417646
133,7,Abu-abu - XL,SKU-007-0133,XL,Abu-abu,-20000,1397646
134,7,Hitam - XL,SKU-007-0134,XL,Hitam,0,1417646
135,7,Merah - XL,SKU-007-0135,XL,Merah,-20000,1397646
136,7,Biru - XL,SKU-007-0136,XL,Biru,-20000,1397646
137,7,Olive - XXL,SKU-007-0137,XXL,Olive,-20000,1397646
138,7,Merah - XXL,SKU-007-0138,XXL,Merah,20000,1437646
139,7,Khaki - XXL,SKU-007-0139,XXL,Khaki,-20000,1397646
140,7,Putih - XXL,SKU-007-0140,XXL,Putih,-10000,1407646
141,8,Abu-abu - S,SKU-008-0141,S,Abu-abu,-10000,1287879
142,8,Olive - S,SKU-008-0142,S,Olive,20000,1317879
143,8,Hitam - S,SKU-008-0143,S,Hitam,20000,1317879
144,8,Merah - S,SKU-008-0144,S,Merah,-20000,1277879
145,8,Putih - M,SKU-008-0145,M,Putih,20000,1317879
146,8,Abu-abu - M,SKU-008-0146,M,Abu-abu,20000,1317879
147,8,Biru - M,SKU-008-0147,M,Biru,0,1297879
148,8,Merah - M,SKU-008-0148,M,Merah,0,1297879
149,8,Abu-abu - L,SKU-008-0149,L,Abu-abu,-10000,1287879
150,8,Biru - L,SKU-008-0150,L,Biru,0,1297879
151,8,Khaki - L,SKU-008-0151,L,Khaki,10000,1307879
152,8,Navy - L,SKU-008-0152,L,Navy,-10000,1287879
153,8,Merah - XL,SKU-008-0153,XL,Merah,-20000,1277879
154,8,Abu-abu - XL,SKU-008-0154,XL,Abu-abu,10000,1307879
155,8,Navy - XL,SKU-008-0155,XL,Navy,20000,1317879
156,8,Hitam - XL,SKU-008-0156,XL,Hitam,20000,1317879
157,8,Putih - XXL,SKU-008-0157,XXL,Putih,20000,1317879
158,8,Hitam - XXL,SKU-008-0158,XXL,Hitam,0,1297879
159,8,Merah - XXL,SKU-008-0159,XXL,Merah,-10000,1287879
160,8,Olive - XXL,SKU-008-0160,XXL,Olive,0,1297879
161,9,Navy - S,SKU-009-0161,S,Navy,20000,582301
162,9,Abu-abu - S,SKU-009-0162,S,Abu-abu,20000,582301
163,9,Merah - S,SKU-009-0163,S,Merah,-20000,542301
164,9,Olive - S,SKU-009-0164,S,Olive,20000,582301
165,9,Merah - M,SKU-009-0165,M,Merah,0,562301
166,9,Biru - M,SKU-009-0166,M,Biru,-20000,542301
167,9,Hitam - M,SKU-009-0167,M,Hitam,-20000,542301
168,9,Putih - M,SKU-009-0168,M,Putih,20000,582301
169,9,Navy - L,SKU-009-0169,L,Navy,-10000,552301
170,9,Olive - L,SKU-009-0170,L,Olive,0,562301
171,9,Khaki - L,SKU-009-0171,L,Khaki,-10000,552301
172,9,Merah - L,SKU-009-0172,L,Merah,0,562301
173,9,Olive - XL,SKU-009-0173,XL,Olive,10000,572301
174,9,Navy - XL,SKU-009-0174,XL,Navy,0,562301
175,9,Hitam - XL,SKU-009-0175,XL,Hitam,-20000,542301
176,9,Biru - XL,SKU-009-0176,XL,Biru,-20000,542301
177,9,Biru - XXL,SKU-009-0177,XXL,Biru,-10000,552301
178,9,Khaki - XXL,SKU-009-0178,XXL,Khaki,10000,572301
179,9,Putih - XXL,SKU-009-0179,XXL,Putih,20000,582301
180,9,Navy - XXL,SKU-009-0180,XXL,Navy,10000,572301
181,10,Navy - S,SKU-010-0181,S,Navy,20000,90278
182,10,Merah - S,SKU-010-0182,S,Merah,20000,90278
183,10,Hitam - S,SKU-010-0183,S,Hitam,-10000,60278
184,10,Olive - S,SKU-010-0184,S,Olive,10000,80278
185,10,Navy - M,SKU-010-0185,M,Navy,-20000,50278
186,10,Hitam - M,SKU-010-0186,M,Hitam,0,70278
187,10,Olive - M,SKU-010-0187,M,Olive,-10000,60278
188,10,Biru - M,SKU-010-0188,M,Biru,-10000,60278
189,10,Putih - L,SKU-010-0189,L,Putih,20000,90278
190,10,Navy - L,SKU-010-0190,L,Navy,-10000,60278
191,10,Merah - L,SKU-010-0191,L,Merah,-10000,60278
192,10,Abu-abu - L,SKU-010-0192,L,Abu-abu,-10000,60278
193,10,Navy - XL,SKU-010-0193,XL,Navy,0,70278
194,10,Abu-abu - XL,SKU-010-0194,XL,Abu-abu,10000,80278
195,10,Hitam - XL,SKU-010-0195,XL,Hitam,-10000,60278
196,10,Putih - XL,SKU-010-0196,XL,Putih,0,70278
197,10,Navy - XXL,SKU-010-0197,XXL,Navy,10000,80278
198,10,Khaki - XXL,SKU-010-0198,XXL,Khaki,-20000,50278
199,10,Biru - XXL,SKU-010-0199,XXL,Biru,10000,80278
200,10,Hitam - XXL,SKU-010-0200,XXL,Hitam,-10000,60278
201,11,Abu-abu - S,SKU-011-0201,S,Abu-abu,10000,1025325
202,11,Putih - S,SKU-011-0202,S,Putih,0,1015325
203,11,Hitam - S,SKU-011-0203,S,Hitam,0,1015325
204,11,Khaki - S,SKU-011-0204,S,Khaki,-20000,995325
205,11,Merah - M,SKU-011-0205,M,Merah,10000,1025325
206,11,Navy - M,SKU-011-0206,M,Navy,20000,1035325
207,11,Biru - M,SKU-011-0207,M,Biru,0,1015325
208,11,Olive - M,SKU-011-0208,M,Olive,-20000,995325
209,11,Putih - L,SKU-011-0209,L,Putih,0,1015325
210,11,Navy - L,SKU-011-0210,L,Navy,-20000,995325
211,11,Olive - L,SKU-011-0211,L,Olive,-20000,995325
212,11,Merah - L,SKU-011-0212,L,Merah,20000,1035325
213,11,Khaki - XL,SKU-011-0213,XL,Khaki,10000,1025325
214,11,Navy - XL,SKU-011-0214,XL,Navy,20000,1035325
215,11,Biru - XL,SKU-011-0215,XL,Biru,20000,1035325
216,11,Olive - XL,SKU-011-0216,XL,Olive,-20000,995325
217,11,Khaki - XXL,SKU-011-0217,XXL,Khaki,-20000,995325
218,11,Merah - XXL,SKU-011-0218,XXL,Merah,10000,1025325
219,11,Putih - XXL,SKU-011-0219,XXL,Putih,-20000,995325
220,11,Navy - XXL,SKU-011-0220,XXL,Navy,20000,1035325
221,12,Abu-abu - S,SKU-012-0221,S,Abu-abu,0,1179215
222,12,Navy - S,SKU-012-0222,S,Navy,20000,1199215
223,12,Olive - S,SKU-012-0223,S,Olive,0,1179215
224,12,Hitam - S,SKU-012-0224,S,Hitam,-20000,1159215
225,12,Merah - M,SKU-012-0225,M,Merah,0,1179215
226,12,Olive - M,SKU-012-0226,M,Olive,10000,1189215
227,12,Navy - M,SKU-012-0227,M,Navy,0,1179215
228,12,Abu-abu - M,SKU-012-0228,M,Abu-abu,20000,1199215
229,12,Navy - L,SKU-012-0229,L,Navy,-10000,1169215
230,12,Putih - L,SKU-012-0230,L,Putih,20000,1199215
231,12,Abu-abu - L,SKU-012-0231,L,Abu-abu,20000,1199215
232,12,Biru - L,SKU-012-0232,L,Biru,0,1179215
233,12,Khaki - XL,SKU-012-0233,XL,Khaki,0,1179215
234,12,Merah - XL,SKU-012-0234,XL,Merah,-10000,1169215
235,12,Hitam - XL,SKU-012-0235,XL,Hitam,10000,1189215
236,12,Navy - XL,SKU-012-0236,XL,Navy,20000,1199215
237,12,Biru - XXL,SKU-012-0237,XXL,Biru,-10000,1169215
238,12,Abu-abu - XXL,SKU-012-0238,XXL,Abu-abu,20000,1199215
239,12,Khaki - XXL,SKU-012-0239,XXL,Khaki,10000,1189215
240,12,Olive - XXL,SKU-012-0240,XXL,Olive,-10000,1169215
241,13,Abu-abu - 38,SKU-013-0241,38,Abu-abu,0,227829
242,13,Navy - 38,SKU-013-0242,38,Navy,-10000,217829
243,13,Hitam - 38,SKU-013-0243,38,Hitam,-10000,217829
244,13,Coklat - 38,SKU-013-0244,38,Coklat,-10000,217829
245,13,Hitam - 39,SKU-013-0245,39,Hitam,20000,247829
246,13,Abu-abu - 39,SKU-013-0246,39,Abu-abu,-20000,207829
247,13,Coklat - 39,SKU-013-0247,39,Coklat,10000,237829
248,13,Putih - 39,SKU-013-0248,39,Putih,10000,237829
249,13,Abu-abu - 40,SKU-013-0249,40,Abu-abu,10000,237829
250,13,Putih - 40,SKU-013-0250,40,Putih,10000,237829
251,13,Navy - 40,SKU-013-0251,40,Navy,-10000,217829
252,13,Coklat - 40,SKU-013-0252,40,Coklat,-10000,217829
253,13,Hitam - 41,SKU-013-0253,41,Hitam,-10000,217829
254,13,Abu-abu - 41,SKU-013-0254,41,Abu-abu,20000,247829
255,13,Putih - 41,SKU-013-0255,41,Putih,10000,237829
256,13,Coklat - 41,SKU-013-0256,41,Coklat,-20000,207829
257,13,Abu-abu - 42,SKU-013-0257,42,Abu-abu,-10000,217829
258,13,Putih - 42,SKU-013-0258,42,Putih,10000,237829
259,13,Hitam - 42,SKU-013-0259,42,Hitam,20000,247829
260,13,Coklat - 42,SKU-013-0260,42,Coklat,20000,247829
261,13,Abu-abu - 43,SKU-013-0261,43,Abu-abu,20000,247829
262,13,Navy - 43,SKU-013-0262,43,Navy,10000,237829
263,13,Putih - 43,SKU-013-0263,43,Putih,-10000,217829
264,13,Coklat - 43,SKU-013-0264,43,Coklat,10000,237829
265,13,Coklat - 44,SKU-013-0265,44,Coklat,20000,247829
266,13,Navy - 44,SKU-013-0266,44,Navy,10000,237829
267,13,Hitam - 44,SKU-013-0267,44,Hitam,-10000,217829
268,13,Putih - 44,SKU-013-0268,44,Putih,0,227829
269,14,Putih - 38,SKU-014-0269,38,Putih,20000,232494
270,14,Navy - 38,SKU-014-0270,38,Navy,-20000,192494
271,14,Abu-abu - 38,SKU-014-0271,38,Abu-abu,-10000,202494
272,14,Coklat - 38,SKU-014-0272,38,Coklat,-10000,202494
273,14,Putih - 39,SKU-014-0273,39,Putih,-10000,202494
274,14,Coklat - 39,SKU-014-0274,39,Coklat,-20000,192494
275,14,Navy - 39,SKU-014-0275,39,Navy,10000,222494
276,14,Hitam - 39,SKU-014-0276,39,Hitam,10000,222494
277,14,Navy - 40,SKU-014-0277,40,Navy,-10000,202494
278,14,Coklat - 40,SKU-014-0278,40,Coklat,10000,222494
279,14,Putih - 40,SKU-014-0279,40,Putih,10000,222494
280,14,Hitam - 40,SKU-014-0280,40,Hitam,20000,232494
281,14,Hitam - 41,SKU-014-0281,41,Hitam,0,212494
282,14,Coklat - 41,SKU-014-0282,41,Coklat,0,212494
283,14,Putih - 41,SKU-014-0283,41,Putih,10000,222494
284,14,Abu-abu - 41,SKU-014-0284,41,Abu-abu,10000,222494
285,14,Abu-abu - 42,SKU-014-0285,42,Abu-abu,0,212494
286,14,Putih - 42,SKU-014-0286,42,Putih,10000,222494
287,14,Coklat - 42,SKU-014-0287,42,Coklat,10000,222494
288,14,Hitam - 42,SKU-014-0288,42,Hitam,-20000,192494
289,14,Coklat - 43,SKU-014-0289,43,Coklat,-10000,202494
290,14,Navy - 43,SKU-014-0290,43,Navy,10000,222494
291,14,Abu-abu - 43,SKU-014-0291,43,Abu-abu,-10000,202494
292,14,Putih - 43,SKU-014-0292,43,Putih,20000,232494
293,14,Abu-abu - 44,SKU-014-0293,44,Abu-abu,-20000,192494
294,14,Hitam - 44,SKU-014-0294,44,Hitam,10000,222494
295,14,Putih - 44,SKU-014-0295,44,Putih,-10000,202494
296,14,Coklat - 44,SKU-014-0296,44,Coklat,10000,222494
297,15,Navy - 38,SKU-015-0297,38,Navy,0,155454
298,15,Putih - 38,SKU-015-0298,38,Putih,10000,165454
299,15,Coklat - 38,SKU-015-0299,38,Coklat,0,155454
300,15,Abu-abu - 38,SKU-015-0300,38,Abu-abu,10000,165454
301,15,Navy - 39,SKU-015-0301,39,Navy,20000,175454
302,15,Hitam - 39,SKU-015-0302,39,Hitam,-20000,135454
303,15,Putih - 39,SKU-015-0303,39,Putih,0,155454
304,15,Coklat - 39,SKU-015-0304,39,Coklat,-10000,145454
305,15,Hitam - 40,SKU-015-0305,40,Hitam,-10000,145454
306,15,Abu-abu - 40,SKU-015-0306,40,Abu-abu,-20000,135454
307,15,Coklat - 40,SKU-015-0307,40,Coklat,20000,175454
308,15,Navy - 40,SKU-015-0308,40,Navy,-10000,145454
309,15,Putih - 41,SKU-015-0309,41,Putih,20000,175454
310,15,Abu-abu - 41,SKU-015-0310,41,Abu-abu,-10000,145454
311,15,Coklat - 41,SKU-015-0311,41,Coklat,10000,165454
312,15,Hitam - 41,SKU-015-0312,41,Hitam,0,155454
313,15,Navy - 42,SKU-015-0313,42,Navy,-10000,145454
314,15,Putih - 42,SKU-015-0314,42,Putih,0,155454
315,15,Abu-abu - 42,SKU-015-0315,42,Abu-abu,-20000,135454
316,15,Hitam - 42,SKU-015-0316,42,Hitam,20000,175454
317,15,Hitam - 43,SKU-015-0317,43,Hitam,10000,165454
318,15,Navy - 43,SKU-015-0318,43,Navy,-10000,145454
319,15,Coklat - 43,SKU-015-0319,43,Coklat,-20000,135454
320,15,Putih - 43,SKU-015-0320,43,Putih,20000,175454
321,15,Putih - 44,SKU-015-0321,44,Putih,20000,175454
322,15,Hitam - 44,SKU-015-0322,44,Hitam,-20000,135454
323,15,Navy - 44,SKU-015-0323,44,Navy,20000,175454
324,15,Abu-abu - 44,SKU-015-0324,44,Abu-abu,-20000,135454
325,16,Navy - 38,SKU-016-0325,38,Navy,-20000,1147247
326,16,Hitam - 38,SKU-016-0326,38,Hitam,10000,1177247
327,16,Abu-abu - 38,SKU-016-0327,38,Abu-abu,10000,1177247
328,16,Putih - 38,SKU-016-0328,38,Putih,-20000,1147247
329,16,Coklat - 39,SKU-016-0329,39,Coklat,-10000,1157247
330,16,Navy - 39,SKU-016-0330,39,Navy,10000,1177247
331,16,Abu-abu - 39,SKU-016-0331,39,Abu-abu,-10000,1157247
332,16,Putih - 39,SKU-016-0332,39,Putih,20000,1187247
333,16,Navy - 40,SKU-016-0333,40,Navy,20000,1187247
334,16,Coklat - 40,SKU-016-0334,40,Coklat,0,1167247
335,16,Putih - 40,SKU-016-0335,40,Putih,0,1167247
336,16,Abu-abu - 40,SKU-016-0336,40,Abu-abu,-10000,1157247
337,16,Hitam - 41,SKU-016-0337,41,Hitam,10000,1177247
338,16,Navy - 41,SKU-016-0338,41,Navy,20000,1187247
339,16,Putih - 41,SKU-016-0339,41,Putih,20000,1187247
340,16,Abu-abu - 41,SKU-016-0340,41,Abu-abu,10000,1177247
341,16,Navy - 42,SKU-016-0341,42,Navy,-10000,1157247
342,16,Hitam - 42,SKU-016-0342,42,Hitam,10000,1177247
343,16,Putih - 42,SKU-016-0343,42,Putih,-10000,1157247
344,16,Abu-abu - 42,SKU-016-0344,42,Abu-abu,0,1167247
345,16,Navy - 43,SKU-016-0345,43,Navy,20000,1187247
346,16,Abu-abu - 43,SKU-016-0346,43,Abu-abu,-20000,1147247
347,16,Putih - 43,SKU-016-0347,43,Putih,20000,1187247
348,16,Coklat - 43,SKU-016-0348,43,Coklat,-10000,1157247
349,16,Hitam - 44,SKU-016-0349,44,Hitam,10000,1177247
350,16,Putih - 44,SKU-016-0350,44,Putih,20000,1187247
351,16,Navy - 44,SKU-016-0351,44,Navy,-10000,1157247
352,16,Coklat - 44,SKU-016-0352,44,Coklat,10000,1177247
353,17,Hitam - 38,SKU-017-0353,38,Hitam,10000,1089326
354,17,Abu-abu - 38,SKU-017-0354,38,Abu-abu,-10000,1069326
355,17,Putih - 38,SKU-017-0355,38,Putih,0,1079326
356,17,Coklat - 38,SKU-017-0356,38,Coklat,20000,1099326
357,17,Navy - 39,SKU-017-0357,39,Navy,10000,1089326
358,17,Coklat - 39,SKU-017-0358,39,Coklat,20000,1099326
359,17,Abu-abu - 39,SKU-017-0359,39,Abu-abu,0,1079326
360,17,Putih - 39,SKU-017-0360,39,Putih,0,1079326
361,17,Coklat - 40,SKU-017-0361,40,Coklat,-10000,1069326
362,17,Navy - 40,SKU-017-0362,40,Navy,-20000,1059326
363,17,Putih - 40,SKU-017-0363,40,Putih,-10000,1069326
364,17,Abu-abu - 40,SKU-017-0364,40,Abu-abu,0,1079326
365,17,Hitam - 41,SKU-017-0365,41,Hitam,10000,1089326
366,17,Putih - 41,SKU-017-0366,41,Putih,0,1079326
367,17,Abu-abu - 41,SKU-017-0367,41,Abu-abu,20000,1099326
368,17,Navy - 41,SKU-017-0368,41,Navy,20000,1099326
369,17,Abu-abu - 42,SKU-017-0369,42,Abu-abu,0,1079326
370,17,Navy - 42,SKU-017-0370,42,Navy,-10000,1069326
371,17,Hitam - 42,SKU-017-0371,42,Hitam,0,1079326
372,17,Coklat - 42,SKU-017-0372,42,Coklat,-10000,1069326
373,17,Navy - 43,SKU-017-0373,43,Navy,0,1079326
374,17,Hitam - 43,SKU-017-0374,43,Hitam,-20000,1059326
375,17,Abu-abu - 43,SKU-017-0375,43,Abu-abu,-20000,1059326
376,17,Coklat - 43,SKU-017-0376,43,Coklat,20000,1099326
377,17,Navy - 44,SKU-017-0377,44,Navy,-20000,1059326
378,17,Putih - 44,SKU-017-0378,44,Putih,-20000,1059326
379,17,Abu-abu - 44,SKU-017-0379,44,Abu-abu,20000,1099326
380,17,Coklat - 44,SKU-017-0380,44,Coklat,0,1079326
381,18,Putih - 38,SKU-018-0381,38,Putih,-20000,1033936
382,18,Hitam - 38,SKU-018-0382,38,Hitam,-20000,1033936
383,18,Abu-abu - 38,SKU-018-0383,38,Abu-abu,10000,1063936
384,18,Navy - 38,SKU-018-0384,38,Navy,10000,1063936
385,18,Hitam - 39,SKU-018-0385,39,Hitam,20000,1073936
386,18,Abu-abu - 39,SKU-018-0386,39,Abu-abu,0,1053936
387,18,Coklat - 39,SKU-018-0387,39,Coklat,-20000,1033936
388,18,Navy - 39,SKU-018-0388,39,Navy,-10000,1043936
389,18,Hitam - 40,SKU-018-0389,40,Hitam,20000,1073936
390,18,Coklat - 40,SKU-018-0390,40,Coklat,10000,1063936
391,18,Navy - 40,SKU-018-0391,40,Navy,10000,1063936
392,18,Abu-abu - 40,SKU-018-0392,40,Abu-abu,10000,1063936
393,18,Navy - 41,SKU-018-0393,41,Navy,20000,1073936
394,18,Coklat - 41,SKU-018-0394,41,Coklat,-20000,1033936
395,18,Putih - 41,SKU-018-0395,41,Putih,-10000,1043936
396,18,Hitam - 41,SKU-018-0396,41,Hitam,-10000,1043936
397,18,Navy - 42,SKU-018-0397,42,Navy,-10000,1043936
398,18,Hitam - 42,SKU-018-0398,42,Hitam,20000,1073936
399,18,Coklat - 42,SKU-018-0399,42,Coklat,-20000,1033936
400,18,Abu-abu - 42,SKU-018-0400,42,Abu-abu,-10000,1043936
401,18,Hitam - 43,SKU-018-0401,43,Hitam,0,1053936
402,18,Coklat - 43,SKU-018-0402,43,Coklat,-20000,1033936
403,18,Putih - 43,SKU-018-0403,43,Putih,-10000,1043936
404,18,Navy - 43,SKU-018-0404,43,Navy,0,1053936
405,18,Navy - 44,SKU-018-0405,44,Navy,0,1053936
